Sample ID,Date_collected,Tissue,Site,Size_class,Length,Total_DW ,Delta15N,PercentN,Delta13C,Delta13C_corrected,PercentC,CN_ratio,ug_N,ug_C,Ampl 28,N Area,Ampl 44,C Area
M1-SEP02-1-6,02-Sep-10,M,1+,,17,0.77,5.74,8.48,-20.79,-19.83,36.7,4.33,65,283,1823,26,1684,27
M1-SEP02-1-5,02-Sep-10,M,1+,,19.9,0.72,5.95,8.45,-20.11,-19.51,33.47,3.96,61,241,1693,24,1451,23
M1-AUG24-1-5,24-Aug-10,M,1+,,21,0.54,5.24,9.42,-20.23,-19.79,35.73,3.79,51,193,1374,20,1165,19
M1-SEP02-1-4,02-Sep-10,M,1+,,21.6,0.9,5.31,8.51,-20.59,-19.9,34.48,4.05,77,310,2159,31,1845,30
M1-AUG24-1-6,24-Aug-10,M,1+,,24.1,1.07,5.36,8.68,-20.06,-19.4,34.83,4.01,93,373,2614,37,2181,36
M1-AUG24-1-4,24-Aug-10,M,1+,,25.7,0.92,5.41,8.13,-20.58,-19.97,32.26,3.97,75,297,2069,30,1757,29
M1-AUG24-1-22,24-Aug-10,M,1+,,29.5,0.134,5.43,7.49,-22.54,-20.17,43.09,5.75,10,57.7,2126,25,7857,119
M1-AUG24-1-13,24-Aug-10,M,1+,,33.7,0.572,5.64,0.52,-22.13,-20.67,2.53,4.83,30.2,145.7,1086,11,1312,17
M1-AUG24-1-10,24-Aug-10,M,1+,,35.1,0.88,5.91,9.43,-21.25,-19.79,45.53,4.83,83,400.7,3096,32,3407,45
M1-AUG24-1-4,24-Aug-10,M,1+,,36,0.881,5.67,9.3,-21.58,-20.2,44.1,4.74,81.9,388.5,3044,32,3284,44
M1-SEP02-1-7,02-Sep-10,M,1+,,37.45,0.856,6.47,8.32,-21.2,-19.84,39.32,4.73,71.2,336.6,3027,45,2987,51
M1-SEP02-1-5,02-Sep-10,M,1+,,37.47,0.945,6.41,9.95,-20.35,-19.7,39.88,4.01,94.1,376.9,4020,59,3309,57
M1-AUG24-1-1,24-Aug-10,M,1+,,37.6,0.96,5.92,8.18,-21.63,-19.7,43.34,5.3,78.5,416.1,2925,30,3504,47
M1-SEP02-1-10,02-Sep-10,M,1+,,37.93,0.944,6.85,5.35,-20.98,-19.87,23.94,4.48,50.5,226,2121,31,2041,34
M1-AUG24-1-18,24-Aug-10,M,1+,,39.3,1.01,5.94,8.52,-21.86,-19.8,46.34,5.44,86.1,468.1,3254,33,3949,53
M1-AUG24-1-1,24-Aug-10,M,1+,,40,0.9,6.47,9,-20.95,-19.51,43.29,4.81,81,390,2205,32,2238,37
M1-SEP02-1-12,02-Sep-10,M,1+,,40.02,0.933,6.51,6.29,-20.83,-19.53,29.32,4.67,58.6,273.6,2501,36,2463,41
M1-AUG24-1-23,24-Aug-10,M,1+,,40.1,0.841,6.13,9.18,-21.91,-20.08,47.71,5.2,77.2,401.2,2879,30,3398,45
M1-SEP02-1-2,02-Sep-10,M,1+,,40.1,1.01,5.88,7.85,-21.72,-19.65,42.72,5.44,79,431,2234,32,2504,41
M1-SEP02-1-9,02-Sep-10,M,1+,,40.33,0.922,6.5,7.34,-20.81,-19.56,33.87,4.62,67.7,312.3,2884,42,2786,47
M1-AUG24-1-5,24-Aug-10,M,1+,,40.5,0.696,5.97,11.42,-21.17,-19.62,56.16,4.92,79.5,390.9,2952,31,3301,44
M1-AUG24-1-16,24-Aug-10,M,1+,,40.6,0.873,6,8.08,-21.41,-19.38,43.61,5.4,70.5,380.7,2653,27,3265,43
M1-AUG24-1-9,24-Aug-10,M,1+,,40.8,0.792,6.23,8.47,-21.75,-19.77,45.4,5.36,67.1,359.5,2486,26,3070,40
M2-AUG24-1-6,24-Aug-10,M,1+,,40.94,0.732,6.5,10.38,-20.35,-19.63,42.36,4.08,76,310.1,2639,28,2551,34
M1-SEP02-1-11,02-Sep-10,M,1+,,41.11,0.894,6.61,9.47,-20.64,-19.77,40.01,4.22,84.7,357.7,3628,53,3169,54
M2-AUG24-1-10,24-Aug-10,M,1+,,41.57,0.879,6.62,9.49,-20.59,-19.62,41.12,4.33,83.4,361.4,2822,31,2856,40
M1-SEP02-1-13,02-Sep-10,M,1+,,41.94,0.982,6.43,8.27,-20.88,-19.55,38.88,4.7,81.2,381.8,3519,51,3396,58
M1-AUG24-1-21,24-Aug-10,M,1+,,42.6,1.018,6.27,9.35,-21.52,-20.08,44.91,4.8,95.2,457.2,3579,37,3848,51
M1-SEP02-1-1,02-Sep-10,M,1+,,42.6,0.95,6.19,7.28,-21.32,-19.08,40.86,5.61,69,388,1943,27,2269,37
M1-AUG24-1-8,24-Aug-10,M,1+,,42.9,0.916,6.01,7.71,-22.12,-19.66,45.03,5.84,70.7,412.5,2616,27,3467,46
M1-AUG24-1-3,24-Aug-10,M,1+,,43.6,0.61,6.59,8.26,-20.27,-19.68,32.57,3.94,50,199,1345,20,1191,19
M1-SEP02-1-14,02-Sep-10,M,1+,,43.96,0.938,6.53,5.36,-20.79,-19.59,24.52,4.57,50.3,230,2150,31,2099,35
M2-AUG24-1-9,24-Aug-10,M,1+,,44.08,0.909,6.44,7.14,-20.88,-19.74,32.15,4.5,64.9,292.3,2178,24,2346,32
M2-AUG24-1-5,24-Aug-10,M,1+,,44.11,0.984,6.6,9.46,-21.07,-19.97,42.26,4.47,93.1,415.9,3288,35,3370,46
M1-SEP02-1-15,02-Sep-10,M,1+,,44.12,0.994,6.36,8.24,-20.94,-19.88,36.42,4.42,81.9,362,3556,51,3235,55
M1-AUG24-1-11,24-Aug-10,M,1+,,44.2,0.908,5.78,9.24,-21.52,-20.08,44.4,4.8,83.9,403.1,3188,32,3451,45
M1-AUG24-1-3,24-Aug-10,M,1+,,44.3,0.998,5.98,8.25,-21.04,-20.1,35.52,4.3,82.4,354.5,3060,32,3006,40
M1-AUG24-1-6,24-Aug-10,M,1+,,44.6,1.068,5.81,8.11,-21.76,-19.35,46.94,5.79,86.7,501.4,3248,34,4151,56
M2-AUG24-1-3,24-Aug-10,M,1+,,44.98,0.887,6.27,8.82,-20.74,-19.66,39.28,4.45,78.2,348.4,2730,29,2849,38
M2-AUG24-1-8,24-Aug-10,M,1+,,44.99,0.917,6.45,8.81,-20.73,-19.74,38.38,4.36,80.7,351.9,2795,30,2857,38
M2-AUG24-1-7,24-Aug-10,M,1+,,46.24,0.915,6.76,8.99,-20.63,-19.73,38.31,4.26,82.2,350.6,2854,31,2849,38
M1-AUG24-1-2,24-Aug-10,M,1+,,46.7,0.835,6.2,7.81,-21.39,-19.23,43.29,5.54,65.2,361.4,2405,25,3064,41
M1-SEP02-1-8,02-Sep-10,M,1+,,46.79,0.816,6.34,8.1,-21.22,-20.1,36.33,4.49,66.1,296.5,2790,41,2642,45
M1-AUG24-1-20,24-Aug-10,M,1+,,46.9,0.937,5.47,9.11,-21.24,-20.21,40.07,4.4,85.4,375.4,3201,33,3207,42
M1-SEP02-1-3,02-Sep-10,M,1+,,47.4,1.06,6.81,9.34,-20.99,-20.04,40.34,4.32,99,428,2821,40,2488,41
M2-AUG24-1-1,24-Aug-10,M,1+,,47.55,0.95,6.49,10.06,-20.69,-19.57,45.19,4.49,95.6,429.3,3398,36,3492,47
M2-AUG24-1-2,24-Aug-10,M,1+,,48.56,0.89,6.4,8.32,-21.19,-19.46,42.44,5.1,74.1,377.7,2589,27,3084,41
M1-AUG24-1-19,24-Aug-10,M,1+,,49,0.929,5.93,8.17,-21.55,-19.35,45.62,5.58,75.9,423.8,2856,29,3599,48
M2-AUG24-1-4,24-Aug-10,M,1+,,49.02,0.976,6.59,8.95,-21.03,-19.92,40.12,4.48,87.4,391.5,3052,33,3165,43
M1-SEP02-1-6,02-Sep-10,M,1+,,49.55,0.956,6.98,8.69,-20.59,-19.69,37.01,4.26,83,353.8,3523,52,3117,53
M1-AUG24-1-2,24-Aug-10,M,1+,,49.6,0.94,6.03,7.91,-20.71,-19.61,35.34,4.47,74,332,2015,30,1924,32
M1-AUG24-1-17,24-Aug-10,M,1+,,50,1.082,5.89,9.19,-21.68,-20.07,45.72,4.98,99.4,494.7,3778,39,4150,56
M2-SEP02-1-4,02-Sep-10,M,1+,,54.34,0.933,6.4,8.59,-21.22,-19.79,41.17,4.79,80.2,384.1,3533,50,3456,58
M1-AUG24-1-25,24-Aug-10,M,1+,,54.5,0.771,5.88,8.8,-21.07,-19.63,42.34,4.81,67.9,326.4,2515,26,2804,37
M2-SEP02-1-2,02-Sep-10,M,1+,,54.72,0.94,6.64,8.73,-20.71,-19.69,38.24,4.38,82,359.4,3603,51,3236,54
M2-SEP02-1-3,02-Sep-10,M,1+,,56.78,0.904,5.99,8.73,-20.31,-19.57,35.74,4.09,78.9,323.1,3461,49,2933,49
M2-SEP02-1-1,02-Sep-10,M,1+,,63.13,0.904,6.28,8.59,-21.25,-19.89,40.6,4.73,77.6,367,3371,49,3278,55
A-AUG24-1A,24-Aug-10,A,1+,A,NA,0.072,7.02,10.11,-20.98,-19.86,45.24,4.5,7.3,32.6,1453,18,4509,70
