Site,Position,Treatment,Species,Stage,Replicate ,Density 
1,Line,Farm,Acartia,Nauplii,1,33.00509338
1,Line,Farm,Acartia,Nauplii,2,36.53650255
1,Line,Farm,Acartia,Nauplii,3,29.20203735
1,Between,Farm,Acartia,Nauplii,1,33.00509338
1,Between,Farm,Acartia,Nauplii,2,30.42444822
1,Between,Farm,Acartia,Nauplii,3,26.75721562
2,Line,Farm,Acartia,Nauplii,2,107.3005093
2,Line,Farm,Acartia,Nauplii,3,45.63667233
2,Between,Farm,Acartia,Nauplii,1,72.80135823
2,Between,Farm,Acartia,Nauplii,2,82.71646859
2,Between,Farm,Acartia,Nauplii,3,41.96943973
1,Line,Farm,Acartia,Copopedite,1,2.98811545
1,Line,Farm,Acartia,Copopedite,2,5.025466893
1,Line,Farm,Acartia,Copopedite,3,2.85229202
1,Between,Farm,Acartia,Copopedite,1,2.85229202
1,Between,Farm,Acartia,Copopedite,2,3.123938879
1,Between,Farm,Acartia,Copopedite,3,3.803056027
2,Line,Farm,Acartia,Copopedite,2,8.96434635
2,Line,Farm,Acartia,Copopedite,3,6.791171477
2,Between,Farm,Acartia,Copopedite,1,6.383701188
2,Between,Farm,Acartia,Copopedite,2,8.421052632
2,Between,Farm,Acartia,Copopedite,3,7.470288625
1,Line,Farm,Acartia,Adult,1,8.96434635
1,Line,Farm,Acartia,Adult,2,12.35993209
1,Line,Farm,Acartia,Adult,3,11.00169779
1,Between,Farm,Acartia,Adult,1,13.98981324
1,Between,Farm,Acartia,Adult,2,12.63157895
1,Between,Farm,Acartia,Adult,3,13.85398981
2,Line,Farm,Acartia,Adult,2,12.49575552
2,Line,Farm,Acartia,Adult,3,9.779286927
2,Between,Farm,Acartia,Adult,1,13.03904924
2,Between,Farm,Acartia,Adult,2,8.82852292
2,Between,Farm,Acartia,Adult,3,15.48387097
1,Line,Farm,Tmora,Nauplii,1,7.062818336
1,Line,Farm,Tmora,Nauplii,2,9.643463497
1,Line,Farm,Tmora,Nauplii,3,9.371816638
1,Between,Farm,Tmora,Nauplii,1,6.519524618
1,Between,Farm,Tmora,Nauplii,2,7.062818336
1,Between,Farm,Tmora,Nauplii,3,6.112054329
2,Line,Farm,Tmora,Nauplii,2,9.915110357
2,Line,Farm,Tmora,Nauplii,3,4.617996604
2,Between,Farm,Tmora,Nauplii,1,30.15280136
2,Between,Farm,Tmora,Nauplii,2,11.9524618
2,Between,Farm,Tmora,Nauplii,3,4.889643463
1,Line,Farm,Tmora,Copopedite,1,0
1,Line,Farm,Tmora,Copopedite,2,0
1,Line,Farm,Tmora,Copopedite,3,0.407470289
1,Between,Farm,Tmora,Copopedite,1,0.543293718
1,Between,Farm,Tmora,Copopedite,2,0.950764007
1,Between,Farm,Tmora,Copopedite,3,0.679117148
2,Line,Farm,Tmora,Copopedite,2,1.222410866
2,Line,Farm,Tmora,Copopedite,3,0.407470289
2,Between,Farm,Tmora,Copopedite,1,0.950764007
2,Between,Farm,Tmora,Copopedite,2,1.222410866
2,Between,Farm,Tmora,Copopedite,3,1.494057725
1,Line,Farm,Tmora,Adult,1,0
